    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
    1    4         2    3       -0.34381         61.152         60.733         0.49998E+02    0.49998E+02    0
    2    5         3    4       -0.15419        221.522        220.840         0.50000E+02    0.50000E+02    0
    3    6         4    5        0.13794         77.923         78.138         0.49999E+02    0.49999E+02    0
    4    7         5    6        0.16526         53.398         53.575         0.49998E+02    0.49998E+02    0
    5    8         6    7       -0.13070         44.900         44.782         0.49997E+02    0.49997E+02    0
    6    9         7    8       -0.39558         54.260         53.832         0.49998E+02    0.49998E+02    0
    7   10         8    9       -0.02988         53.536         53.504         0.49998E+02    0.49998E+02    0
    8   11         9   10        0.34567         41.717         42.006         0.49996E+02    0.49996E+02    0
    9   12        10   11       -0.24657         69.186         68.846         0.49999E+02    0.49999E+02    0
   10   13        11   12       -0.17830         42.939         42.787         0.49997E+02    0.49997E+02    0
   11   14        12   13       -0.43164         57.864         57.367         0.49998E+02    0.49998E+02    0
   12   15        13   14       -0.43349         56.675         56.186         0.49998E+02    0.49998E+02    0
   13   16        14   15        0.02341         56.963         56.989         0.49998E+02    0.49998E+02    0
   14   17        15   16        0.41349         52.919         53.359         0.49998E+02    0.49998E+02    0
   15   18        16   17        0.03561         65.485         65.532         0.49999E+02    0.49999E+02    0
   16   19        17   18       -0.19845         58.904         58.671         0.49998E+02    0.49998E+02    0
   17   20        18   19       -0.37572         51.210         50.827         0.49998E+02    0.49998E+02    0
   18   21        19   20       -0.22635         70.461         70.143         0.49999E+02    0.49999E+02    0
   19   22        20   21       -0.14483         39.860         39.745         0.49996E+02    0.49996E+02    0
   20   23        21   22       -0.35895         62.449         62.002         0.49998E+02    0.49998E+02    0
   21   24        22   23       -0.07567         54.607         54.525         0.49998E+02    0.49998E+02    0
   22   25        23   24       -0.13698         49.405         49.270         0.49997E+02    0.49997E+02    0
   23   26        24   25       -0.14317         52.966         52.815         0.49998E+02    0.49998E+02    0
   24   27        25   26       -0.31174         48.772         48.469         0.49997E+02    0.49997E+02    0
   25   28        26   27        0.23315         57.865         58.136         0.49998E+02    0.49998E+02    0
   26   29        27   28        0.45736         38.843         39.200         0.49996E+02    0.49996E+02    0
   27   30        28   29       -0.03000         58.251         58.216         0.49998E+02    0.49998E+02    0
   28   31        29   30       -0.62806         54.029         53.355         0.49998E+02    0.49998E+02    0
   29   32        30   31        0.00331         50.509         50.512         0.49998E+02    0.49998E+02    0
   30   33        31   32        0.34149         49.055         49.391         0.49997E+02    0.49997E+02    0
