    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    8         4    6        0.07439          956.26066      957.20673         0.39377E+01    0.39377E+01    0
    2   20         8   14       -0.03065          187.71865      186.75763         0.43843E+01    0.43843E+01    0
    2   23         9   16       -1.27045          192.79373      147.70741         0.94904E+01    0.44675E+01    1
    2   26        10   18       -1.17694          227.55935      171.58538         0.55164E+01    0.37694E+01    1
    2   31        13   24       -1.02563           61.99596       47.69051         0.12512E+02    0.11347E+02    1
    2   34        14   26       -0.30354           15.35061       12.83956         0.21319E+02    0.21319E+02    0
    2   37        15   28       -0.00778           28.29416       27.92616         0.41671E+01    0.41671E+01    0
    3    6         4    5       -0.03453          775.16892      774.53105         0.14419E+01    0.11538E+01    1
    3    9         5    7       -0.03904          778.83607      778.65785         0.93022E+01    0.93022E+01    0
    3   12         6    9       -0.40469          402.45280      401.89866         0.46010E+02    0.45565E+02    1
    3   15         7   11       -1.03751          170.72225      160.39845         0.98398E+01    0.88217E+01    1
    3   18         8   13        0.35281          130.75543      152.67639         0.17801E+01    0.17801E+01    0
    3   21         9   15       -0.10479           96.61002       96.38292         0.61118E+02    0.61118E+02    0
    3   24        10   17        0.87456           96.34919      108.62715         0.10982E+02    0.10982E+02    0
    3   27        11   19       -0.82252           90.19228       77.56504         0.11302E+02    0.11302E+02    0
    3   29        13   23        0.03481           37.90193       38.28370         0.12442E+02    0.12442E+02    0
    3   32        14   25       -0.32340           31.17705       26.62050         0.11041E+02    0.11041E+02    0
    4    7         5    6       -1.53619         2494.69246     1378.72925         0.13981E+00    0.32490E-01    1
    4   10         6    8       -0.02181          536.73087      536.70687         0.66495E+02    0.37838E+02    1
    4   13         7   10        1.07416          165.90548      173.57198         0.19000E+02    0.91318E+01    1
    4   16         8   12       -0.18776          190.30763      189.43325         0.19183E+02    0.19183E+02    0
    4   19         9   14       -0.10495          119.55546      118.63818         0.12611E+02    0.12611E+02    0
    4   22        10   16        0.31028           83.09104       85.31576         0.18444E+02    0.18444E+02    0
    4   28        12   20        0.59242           43.66163       49.30547         0.17909E+02    0.17909E+02    0
    4   30        14   24       -0.33502           31.91474       31.67362         0.18679E+03    0.18679E+03    0
    4   33        15   26        1.47519           -4.44469        0.20032         0.47007E+03    0.49005E+02    1
    4   36        16   28        0.19603           -1.51105        9.62025         0.30671E+01    0.30671E+01    0
    4   45        19   30       -0.10480           32.51043       30.00322         0.15154E+02    0.15154E+02    0
    5    8         6    7        0.24327         1150.60264     1152.42150         0.27416E+01    0.27416E+01    0
    5   14         8   11       -0.99390          203.76135      195.44490         0.13247E+02    0.78892E+01    1
    5   17         9   13        0.04651          206.48110      206.65845         0.41312E+02    0.23112E+02    1
    5   20        10   15        1.11515           75.57787      106.63593         0.51159E+01    0.39493E+01    1
    5   23        11   17       -0.74402           95.31817       58.16486         0.26249E+01    0.26249E+01    0
    5   26        12   19        1.17353           32.96624       44.23104         0.37765E+02    0.15741E+02    1
    5   31        15   25       -0.66440           33.52610       31.11142         0.37048E+02    0.37048E+02    0
    5   34        16   27       -0.48027            7.71798        3.47527         0.17330E+02    0.17330E+02    0
    5   43        19   29        0.84775           14.81796       22.21342         0.39516E+02    0.39516E+02    0
    5   46        20   31        1.33487           -6.71324       17.67604         0.37741E+02    0.19855E+02    1
    6    9         7    8       -0.84652          948.68748      924.87165         0.28949E+01    0.81226E+00    1
    6   15         9   12       -0.30127          285.34297      285.09074         0.80320E+02    0.80320E+02    0
    6   18        10   14        0.00193          162.54619      162.63163         0.19983E+01    0.19983E+01    0
    6   24        12   18       -0.04569           76.55674       76.03019         0.11267E+02    0.11267E+02    0
    6   27        13   20        0.01936            7.65917        7.87195         0.13657E+02    0.13657E+02    0
    6   29        15   24       -0.40670           31.64415       27.86464         0.12209E+02    0.12209E+02    0
    6   32        16   26        0.65410            4.81928        8.11155         0.26418E+02    0.26418E+02    0
    6   44        20   30        0.59935           11.00104       15.74082         0.43760E+02    0.43760E+02    0
    6   47        21   32        1.11735            7.49124       11.31951         0.15336E+03    0.10642E+03    1
    7   16        10   13       -0.43641          391.05723      389.98919         0.80181E+02    0.26622E+02    1
    7   22        12   17        0.00311           83.24023       83.32970         0.37273E+01    0.37273E+01    0
    7   25        13   19        1.04511           21.82228       32.96358         0.17346E+02    0.12053E+02    1
    7   28        14   21       -0.05552           36.41741       36.40539         0.10000E+04    0.68078E+03    1
    7   30        16   25       -0.02594           54.86934       54.66731         0.14426E+02    0.14426E+02    0
    7   33        17   27       -1.71187           57.24841       33.36010         0.44145E+02    0.94650E+01    1
    7   42        20   29       -0.32818           22.48925       21.09286         0.76624E+02    0.76624E+02    0
    7   45        21   31        0.07367           12.77160       14.10845         0.18945E+02    0.18945E+02    0
    7   48        22   33       -0.36635           27.66864       24.61712         0.43780E+02    0.43780E+02    0
    8   14        10   12        0.86936          393.30733      403.66735         0.96160E+01    0.36511E+01    1
    8   20        12   16       -0.14125           87.91427       85.37682         0.47074E+01    0.47074E+01    0
    8   26        14   20       -0.12908           15.53730       15.51072         0.97872E+03    0.61848E+03    1
    8   31        17   26       -0.81439           32.52537       30.33567         0.41367E+02    0.41367E+02    0
