    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    2    5         3    4       -0.78791        11590.79040    11590.30026         0.46327E+05    0.18632E+05    1
    2    8         4    6       -0.68505         9469.42732     9468.94269         0.14324E+05    0.13385E+05    1
    2   11         5    8       -0.53709         6996.48614     6995.83814         0.71492E+04    0.57987E+04    1
    2   14         6   10        0.17371         5973.24514     5973.47790         0.44581E+04    0.44581E+04    0
    2   17         7   12        0.18477         6281.16805     6281.50858         0.34083E+04    0.34083E+04    0
    2   20         8   14       -0.48628         4745.48169     4744.36138         0.20596E+04    0.20596E+04    0
    2   23         9   16       -0.06349         3836.36446     3836.20496         0.15272E+04    0.15272E+04    0
    2   26        10   18       -1.28528         3561.57307     3556.95691         0.12009E+04    0.99101E+03    1
    2   31        13   24       -1.29915         2126.47163     2122.62324         0.84902E+03    0.71721E+03    1
    2   34        14   26       -1.40778         2058.31278     2054.14678         0.70134E+03    0.69484E+03    1
    2   37        15   28        1.81051         2032.29127     2039.55990         0.62224E+03    0.50712E+03    1
    3    6         4    5       -0.00056         8966.98692     8966.98674         0.44773E+05    0.27615E+05    1
    3    9         5    7       -0.26177         6829.54042     6829.27376         0.11719E+05    0.67042E+04    1
    3   12         6    9       -0.85646         6066.02306     6065.13338         0.64204E+04    0.58391E+04    1
    3   15         7   11        0.07352         6474.76726     6474.87203         0.45434E+04    0.45434E+04    0
    3   18         8   13       -0.21383         5440.76520     5440.38996         0.31002E+04    0.31002E+04    0
    3   21         9   15        0.46342         4139.56702     4140.64514         0.17796E+04    0.17796E+04    0
    3   24        10   17        0.47966         3853.86997     3855.18924         0.14097E+04    0.14014E+04    1
    3   27        11   19       -0.42973         3271.20761     3269.97393         0.11393E+04    0.11393E+04    0
    3   29        13   23       -0.34356         2188.08448     2187.26779         0.92031E+03    0.92031E+03    0
    3   32        14   25        0.92812         2152.29731     2154.72208         0.82429E+03    0.82429E+03    0
    3   35        15   27        1.50639         2123.43837     2129.34375         0.71092E+03    0.54242E+03    1
    3   44        18   29       -1.47164         2212.52412     2198.67198         0.38309E+03    0.23432E+03    1
    4    7         5    6       -0.83126         9356.16596     9355.65664         0.39860E+05    0.15270E+05    1
    4   10         6    8       -0.50197         6877.21717     6876.91622         0.11471E+05    0.11471E+05    0
    4   13         7   10       -0.58841         6259.70655     6259.11526         0.62289E+04    0.62289E+04    0
    4   16         8   12        0.43902         6458.98286     6459.63496         0.43486E+04    0.43486E+04    0
    4   19         9   14       -1.24263         4583.04661     4580.53756         0.26293E+04    0.22692E+04    1
    4   22        10   16        0.02303         4077.21277     4077.26315         0.18636E+04    0.18636E+04    0
    4   25        11   18       -0.30741         3434.09511     3433.33181         0.13829E+04    0.13829E+04    0
    4   28        12   20        0.49642         2784.08285     2785.50227         0.97394E+03    0.97394E+03    0
    4   30        14   24       -0.55187         2191.22685     2189.92085         0.92565E+03    0.92565E+03    0
    4   33        15   26       -0.31770         2133.36207     2132.52465         0.80920E+03    0.80920E+03    0
    4   36        16   28        2.07499         2078.57933     2095.33102         0.66788E+03    0.25850E+03    1
    4   45        19   30       -1.53013         2072.71040     2057.60918         0.32763E+03    0.20925E+03    1
    5    8         6    7        0.03639         6844.82013     6844.84166         0.32081E+05    0.11568E+05    1
    5   11         7    9       -0.01199         7467.63823     7467.61907         0.12935E+05    0.46733E+04    1
    5   14         8   11        0.00275         6078.98021     6078.98370         0.62707E+04    0.47893E+04    1
    5   17         9   13       -1.53870         5157.88866     5150.90799         0.36766E+04    0.11361E+04    1
    5   20        10   15       -0.08398         4212.60012     4212.44601         0.22957E+04    0.22957E+04    0
    5   23        11   17       -0.16352         3610.40188     3610.06379         0.17461E+04    0.17461E+04    0
    5   26        12   19        0.00318         2887.82304     2887.83099         0.11547E+04    0.11547E+04    0
    5   31        15   25        1.10810         2269.13691     2271.48861         0.10698E+04    0.10698E+04    0
    5   34        16   27        1.61156         2051.12601     2057.85930         0.80700E+03    0.49173E+03    1
    5   43        19   29       -1.48814         2088.66502     2076.12582         0.37726E+03    0.24714E+03    1
    5   46        20   31       -0.64690         1994.27130     1990.37444         0.33074E+03    0.33074E+03    0
    6    9         7    8       -0.68724         7771.94614     7771.46702         0.33091E+05    0.11148E+05    1
    6   12         8   10       -0.25353         5670.40473     5670.18281         0.89274E+04    0.64782E+04    1
    6   15         9   12       -0.07086         6161.24742     6161.17169         0.57647E+04    0.57647E+04    0
    6   18        10   14        0.33396         4725.02118     4725.48829         0.33784E+04    0.33784E+04    0
    6   21        11   16       -0.09203         3696.13665     3695.96101         0.19366E+04    0.19366E+04    0
    6   24        12   18       -0.22109         2988.62470     2988.11445         0.12949E+04    0.12949E+04    0
    6   27        13   20       -1.15927         2813.10519     2809.84135         0.11320E+04    0.99860E+03    1
    6   29        15   24       -0.43023         2203.46392     2202.59020         0.11186E+04    0.10848E+04    1
    6   32        16   26        1.30832         2089.92146     2093.43935         0.93822E+03    0.77791E+03    1
    6   35        17   28        0.95918         1978.91627     1981.57557         0.75602E+03    0.71425E+03    1
    6   44        20   30       -1.22639         1995.86027     1988.55273         0.36203E+03    0.33434E+03    1
    6   47        21   32        0.45305         1960.43598     1963.45771         0.29416E+03    0.29416E+03    0
    7   10         8    9       -0.44740         7968.83522     7968.52162         0.35216E+05    0.11368E+05    1
    7   13         9   11       -0.32270         5178.10520     5177.89765         0.80510E+04    0.80510E+04    0
    7   16        10   13       -0.25015         5131.59942     5131.33043         0.47721E+04    0.47721E+04    0
    7   19        11   15       -0.24563         3597.12217     3596.78984         0.26586E+04    0.26586E+04    0
    7   22        12   17        1.02553         2970.22174     2973.04453         0.16660E+04    0.10796E+04    1
    7   25        13   19       -0.40298         2834.61875     2833.77190         0.13487E+04    0.13487E+04    0
    7   28        14   21       -1.30904         2671.29096     2665.88978         0.10838E+04    0.64677E+03    1
    7   30        16   25       -1.61303         2186.21671     2182.73864         0.11088E+04    0.10131E+04    1
    7   33        17   27       -0.62238         1915.49052     1914.08735         0.84931E+03    0.84931E+03    0
    7   42        20   29       -0.93141         1951.49103     1946.07868         0.33536E+03    0.33536E+03    0
    7   45        21   31       -0.39179         1892.95631     1890.60632         0.31540E+03    0.31540E+03    0
    7   48        22   33        1.37461         1852.63753     1861.23497         0.29690E+03    0.29690E+03    0
    8   11         9   10       -1.16272         6372.99199     6372.43616         0.28597E+05    0.13331E+05    1
    8   14        10   12       -0.52866         6394.23229     6393.86685         0.10780E+05    0.92502E+04    1
    8   17        11   14       -0.87261         4210.31061     4209.21686         0.41570E+04    0.33586E+04    1
    8   20        12   16        0.58396         2928.97463     2929.80222         0.20670E+04    0.20670E+04    0
    8   23        13   18        0.61199         3001.64423     3002.67713         0.17788E+04    0.17788E+04    0
    8   26        14   20       -1.64070         2845.48765     2839.67359         0.13545E+04    0.80216E+03    1
    8   31        17   26        0.79884         2057.32276     2058.72043         0.11763E+04    0.11763E+04    0
    8   34        18   28        0.19787         1836.79446     1837.24392         0.84468E+03    0.80874E+03    1
    8   43        21   30       -0.27028         1902.60538     1901.18116         0.36093E+03    0.36093E+03    0
    8   46        22   32       -0.03327         1841.18197     1840.99059         0.32005E+03    0.32005E+03    0
    8   49        23   34        0.68381         1760.63817     1765.27211         0.26015E+03    0.26015E+03    0
    9   12        10   11       -0.61376         7150.67281     7150.18784         0.32448E+05    0.90493E+04    1
    9   15        11   13       -0.13963         5547.75747     5547.66762         0.86213E+04    0.86213E+04    0
    9   18        12   15       -0.96400         3167.49768     3166.46994         0.31599E+04    0.29706E+04    1
