       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1229.504870     1133.196350   8.5 22.654 18.005 20.454     1229.653438         1202.73   2.2
       8.732390     2943.985727     1974.257490     1783.942440  10.7 17.514 14.633 16.394     1808.092042         1712.33   5.6
      13.340243     2951.980563     2052.129440     2257.344090  -9.1 7.319 7.946 8.340     1536.303554         1712.22 -10.3
      19.657987     2933.513517     1173.133680     1071.068890   9.5 23.086 18.289 20.796     1181.601535         1145.95   3.1
      34.366747     2941.519303      549.477750      492.588560  11.5 7.981 8.379 8.863      417.319217         380.066   9.8
      10.574743     2951.102187     2278.138260     2192.892560   3.9 9.598 9.440 10.140     1790.625959          1762.0   1.6
      22.011300     2947.518993     1391.757140     1344.741750   3.5 8.281 8.576 9.100     1063.870930         1045.54   1.8
      20.004773     2946.818233     1533.171080     1549.352440  -1.0 9.782 9.561 10.286     1209.704040         1250.54  -3.3
       0.363200     2942.958457     1746.467800     1699.636250   2.8 25.142 19.637 22.420     1817.935213         1887.44  -3.7
      13.126763     2947.620140     2073.853450     2086.383280  -0.6 11.680 10.806 11.785     1700.870127         1762.22  -3.5
      26.892840     2942.055673      699.261830      796.226010 -12.2 11.444 10.651 11.599      570.798257          668.81 -14.7
      14.229950     2947.551397     1985.678440     2062.777160  -3.7 11.749 10.851 11.839     1630.792060         1745.08  -6.5
      30.507033     2943.499180      557.898840      591.376280  -5.7 7.601 8.130 8.563      420.239200         451.851  -7.0
       5.153000     2952.359040     2426.687250     2244.300250   8.1 11.741 10.846 11.833     1992.678272         1898.31   5.0
       4.322917     2951.893573     2345.277310     2213.329550   6.0 12.206 11.151 12.201     1943.731389         1892.46   2.7
      16.730837     2947.441093     1830.233920     1932.473900  -5.3 10.659 10.136 10.979     1470.420909         1593.25  -7.7
       5.827083     2941.582690     1768.659190     1625.826000   8.8 21.717 17.391 19.715     1741.711402         1695.52   2.7
      54.371767     2932.116007      472.050050      487.182720  -3.1 10.384 9.956 10.761      377.119568         399.019  -5.5
      36.762667     2937.910357      466.483780      401.106370  16.3 10.190 9.828 10.608      371.185847          326.98  13.5
       9.386663     2953.760750     2592.426870     2313.122270  12.1 7.739 8.221 8.672     1958.639820          1773.7  10.4
      22.700903     2947.556530     1306.465970     1257.937230   3.9 7.443 8.027 8.438      980.728551         957.238   2.5
      14.945220     2946.568847     1915.049380     1958.021840  -2.2 12.131 11.102 12.142     1584.800706         1671.25  -5.2
      11.847207     2934.775163     1412.565300     1296.139280   9.0 25.225 19.691 22.486     1472.298628         1441.49   2.1
      72.076170     2931.138513      572.547770      599.461910  -4.5 7.461 8.039 8.453      429.965247         456.379  -5.8
       6.034293     2946.302793     2081.183210     1876.080840  10.9 16.997 14.294 15.986     1888.370045         1781.61   6.0
      63.675670     2931.625447      476.803740      518.043680  -8.0 7.875 8.310 8.779      361.294518          398.62  -9.4
      47.005797     2936.616360      263.925510      303.407170 -13.0 7.484 8.053 8.470      198.295589         231.121 -14.2
       9.999517     2950.488933     2321.281010     2164.829420   7.2 10.211 9.842 10.625     1847.882271         1765.67   4.7
       0.836253     2950.980900     2158.891580     2168.667620  -0.5 15.619 13.390 14.897     1910.086076         2000.44  -4.5
      13.327453     2951.249663     2038.275520     2242.316670  -9.1 8.050 8.425 8.918     1550.364280         1733.19 -10.5
      35.933310     2938.236270      492.536560      421.162950  16.9 10.464 10.008 10.824      394.130268          345.61  14.0
      62.785293     2931.359873      478.151720      531.907640 -10.1 8.140 8.484 8.989      364.398483         412.078 -11.6
       8.156063     2942.970503     1885.628080     1708.079130  10.4 19.629 16.021 18.065     1792.333988         1710.87   4.8
      58.083277     2933.354480      391.868990      433.753920  -9.7 7.646 8.159 8.598      295.463921           331.8 -11.0
      45.256087     2931.192803      368.056450      381.376630  -3.5 13.907 12.267 13.545      315.305836         338.898  -7.0
      19.577963     2948.593860     1683.186500     1693.286300  -0.6 8.006 8.396 8.883     1279.054511         1307.34  -2.2
      27.137847     2945.237553      666.111800      780.586720 -14.7 7.562 8.105 8.532      501.331781         595.828 -15.9
      25.112657     2936.402253      941.450040      891.120330   5.6 17.898 14.885 16.697      868.132653         862.097   0.7
      11.894277     2932.990187     1352.662850     1240.734070   9.0 27.010 20.862 23.896     1449.460390         1423.61   1.8
