       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.729017     2934.646280     1171.995890     1133.196350   3.4 22.654 19.609 20.454     1219.134253         1202.73   1.4
       8.732390     2943.985727     1818.861610     1783.942440   2.0 17.514 15.836 16.394     1720.482632         1712.33   0.5
      13.340243     2951.980563     2338.687120     2257.344090   3.6 7.319 8.353 8.340     1774.681428         1712.22   3.6
      19.657987     2933.513517     1116.308810     1071.068890   4.2 23.086 19.926 20.796     1170.072241         1145.95   2.1
      34.366747     2941.519303      506.322040      492.588560   2.8 7.981 8.839 8.863      390.359475         380.066   2.7
      10.574743     2951.102187     2279.649160     2192.892560   4.0 9.598 10.026 10.140     1825.189272          1762.0   3.6
      22.011300     2947.518993     1370.097190     1344.741750   1.9 8.281 9.059 9.100     1063.855012         1045.54   1.8
      20.004773     2946.818233     1557.847560     1549.352440   0.5 9.782 10.161 10.286     1252.541146         1250.54   0.2
       0.363200     2942.958457     1708.600190     1699.636250   0.5 25.142 21.435 22.420     1855.321318         1887.44  -1.7
      13.126763     2947.620140     2119.851250     2086.383280   1.6 11.680 11.554 11.785     1778.237963         1762.22   0.9
      26.892840     2942.055673      776.672940      796.226010  -2.5 11.444 11.381 11.599      648.155560          668.81  -3.1
      14.229950     2947.551397     2080.256840     2062.777160   0.8 11.749 11.604 11.839     1747.648297         1745.08   0.1
      30.507033     2943.499180      572.753960      591.376280  -3.1 7.601 8.560 8.563      437.584026         451.851  -3.2
       5.153000     2952.359040     2303.079760     2244.300250   2.6 11.741 11.599 11.833     1934.521440         1898.31   1.9
       4.322917     2951.893573     2261.623330     2213.329550   2.2 12.206 11.941 12.201     1919.016444         1892.46   1.4
      16.730837     2947.441093     1929.590680     1932.473900  -0.1 10.659 10.805 10.979     1582.487930         1593.25  -0.7
       5.827083     2941.582690     1647.105470     1625.826000   1.3 21.717 18.921 19.715     1685.050616         1695.52  -0.6
      54.371767     2932.116007      464.232510      487.182720  -4.7 10.384 10.603 10.761      378.382553         399.019  -5.2
      36.762667     2937.910357      461.264570      401.106370  15.0 10.190 10.460 10.608      374.318453          326.98  14.5
       9.386663     2953.760750     2424.429720     2313.122270   4.8 7.739 8.662 8.672     1858.422819          1773.7   4.8
      22.700903     2947.556530     1284.725910     1257.937230   2.1 7.443 8.445 8.438      977.821116         957.238   2.2
      14.945220     2946.568847     1970.904880     1958.021840   0.7 12.131 11.885 12.142     1669.615763         1671.25  -0.1
      11.847207     2934.775163     1321.448880     1296.139280   2.0 25.225 21.496 22.486     1436.944247         1441.49  -0.3
      72.076170     2931.138513      612.379590      599.461910   2.2 7.461 8.458 8.453      466.292296         456.379   2.2
       6.034293     2946.302793     1919.184310     1876.080840   2.3 16.997 15.457 15.986     1797.169511         1781.61   0.9
      63.675670     2931.625447      489.188650      518.043680  -5.6 7.875 8.761 8.779      376.197326          398.62  -5.6
      47.005797     2936.616360      271.496090      303.407170 -10.5 7.484 8.474 8.470      206.839228         231.121 -10.5
       9.999517     2950.488933     2247.627340     2164.829420   3.8 10.211 10.476 10.625     1824.844153         1765.67   3.4
       0.836253     2950.980900     2192.266510     2168.667620   1.1 15.619 14.445 14.897     1997.451559         2000.44  -0.1
      13.327453     2951.249663     2306.496010     2242.316670   2.9 8.050 8.890 8.918     1781.188379         1733.19   2.8
      35.933310     2938.236270      479.919610      421.162950  14.0 10.464 10.661 10.824      391.870859          345.61  13.4
      62.785293     2931.359873      492.232850      531.907640  -7.5 8.140 8.956 8.989      380.937168         412.078  -7.6
       8.156063     2942.970503     1737.609260     1708.079130   1.7 19.629 17.389 18.065     1711.069216         1710.87   0.0
      58.083277     2933.354480      401.722300      433.753920  -7.4 7.646 8.593 8.598      307.245348           331.8  -7.4
      45.256087     2931.192803      364.430750      381.376630  -4.4 13.907 13.189 13.545      320.597733         338.898  -5.4
      19.577963     2948.593860     1684.361850     1693.286300  -0.5 8.006 8.858 8.883     1299.380096         1307.34  -0.6
      27.137847     2945.237553      748.781400      780.586720  -4.1 7.562 8.532 8.532      571.541736         595.828  -4.1
      25.112657     2936.402253      930.756090      891.120330   4.4 17.898 16.118 16.697      886.962636         862.097   2.9
      11.894277     2932.990187     1269.012500     1240.734070   2.3 27.010 22.806 23.896     1421.490523         1423.61  -0.1
      20.398657     2948.647943     1578.834850     1572.228330   0.4 7.952 8.818 8.840     1216.405717         1212.19   0.3
       0.415747     2946.207237     1863.693700     1846.720250   0.9 21.893 19.050 19.853     1912.628778         1932.28  -1.0
      28.247143     2942.912647      685.199470      709.240760  -3.4 9.887 10.238 10.369      552.241904         573.935  -3.8
      38.936593     2934.325263      424.704520      388.041370   9.4 12.975 12.504 12.808      366.354929         337.674   8.5
       2.378563     2952.172737     2284.096870     2258.774230   1.1 12.727 12.323 12.613     1959.915441         1954.55   0.3
      43.003673     2934.596207      318.845890      320.348140  -0.5 10.904 10.984 11.172      262.923361         265.665  -1.0
      58.697787     2932.601947      415.589540      456.684720  -9.0 8.398 9.145 9.192      323.590162         356.128  -9.1
       4.855037     2956.239917     2901.258330     2923.892200  -0.8 7.860 8.750 8.767     2230.364046         2249.02  -0.8
      26.425710     2941.260333      825.297410      837.138370  -1.4 12.240 11.965 12.227      700.778846         716.325  -2.2
      29.920297     2943.417253      600.345240      619.221230  -3.0 8.483 9.207 9.259      468.379359         483.912  -3.2
      24.890200     2946.487830      978.651870      994.173090  -1.6 7.812 8.715 8.730      751.485507         763.764  -1.6
       7.093607     2955.044237     2615.024870     2523.307130   3.6 7.556 8.527 8.527     1995.716928         1925.73   3.6
       4.842337     2946.379847     1906.069400     1868.580200   2.0 17.720 15.988 16.557     1810.174441         1801.17   0.5
      23.572353     2940.729307     1037.436080     1039.309200  -0.2 14.271 13.456 13.832      919.575166         931.009  -1.2
